F1 [lbf],F2 [lbf],F3 [lbf]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
15.6666666666667,6.66666666666667,6.66666666666667
15.6666666666667,6.66666666666667,6.66666666666667
15.6666666666667,6.66666666666667,6.66666666666667
15.6666666666667,6.66666666666667,6.66666666666667
15.6666666666667,6.66666666666667,6.66666666666667
15.6666666666667,6.66666666666667,6.66666666666667
15.6666666666667,6.66666666666667,6.66666666666667
31.3333333333333,13.3333333333333,13.3333333333333
31.3333333333333,13.3333333333333,13.3333333333333
31.3333333333333,13.3333333333333,13.3333333333333
31.3333333333333,13.3333333333333,13.3333333333333
31.3333333333333,13.3333333333333,13.3333333333333
31.3333333333333,13.3333333333333,13.3333333333333
31.3333333333333,13.3333333333333,13.3333333333333
31.3333333333333,13.3333333333333,13.3333333333333
47,20,20
47,20,20
47,20,20
47,20,20
47,20,20
47,20,20
47,20,20
62.6666666666667,26.6666666666667,26.6666666666667
62.6666666666667,26.6666666666667,26.6666666666667
62.6666666666667,26.6666666666667,26.6666666666667
62.6666666666667,26.6666666666667,26.6666666666667
62.6666666666667,26.6666666666667,26.6666666666667
62.6666666666667,26.6666666666667,26.6666666666667
62.6666666666667,26.6666666666667,26.6666666666667
78.3333333333333,33.3333333333333,33.3333333333333
78.3333333333333,33.3333333333333,33.3333333333333
78.3333333333333,33.3333333333333,33.3333333333333
78.3333333333333,33.3333333333333,33.3333333333333
78.3333333333333,33.3333333333333,33.3333333333333
78.3333333333333,33.3333333333333,33.3333333333333
78.3333333333333,33.3333333333333,33.3333333333333
94,40,40
94,40,40
94,40,40
94,40,40
94,40,40
94,40,40
94,40,40
109.666666666667,46.6666666666667,46.6666666666667
109.666666666667,46.6666666666667,46.6666666666667
109.666666666667,46.6666666666667,46.6666666666667
