F1 [lbf],F2 [lbf],F3 [lbf]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
15.6,15.6,15.6
15.6,15.6,15.6
15.6,15.6,15.6
15.6,15.6,15.6
15.6,15.6,15.6
15.6,15.6,15.6
15.6,15.6,15.6
15.6,15.6,15.6
15.6,15.6,15.6
15.6,15.6,15.6
15.6,15.6,15.6
15.6,15.6,15.6
31.2,31.2,31.2
31.2,31.2,31.2
31.2,31.2,31.2
31.2,31.2,31.2
31.2,31.2,31.2
31.2,31.2,31.2
31.2,31.2,31.2
31.2,31.2,31.2
31.2,31.2,31.2
31.2,31.2,31.2
31.2,31.2,31.2
31.2,31.2,31.2
46.8,46.8,46.8
46.8,46.8,46.8
46.8,46.8,46.8
46.8,46.8,46.8
46.8,46.8,46.8
46.8,46.8,46.8
46.8,46.8,46.8
46.8,46.8,46.8
46.8,46.8,46.8
46.8,46.8,46.8
46.8,46.8,46.8
62.4,62.4,62.4
62.4,62.4,62.4
62.4,62.4,62.4
62.4,62.4,62.4
62.4,62.4,62.4
62.4,62.4,62.4
62.4,62.4,62.4
62.4,62.4,62.4
62.4,62.4,62.4
62.4,62.4,62.4
62.4,62.4,62.4
78,78,78
78,78,78
78,78,78
78,78,78
78,78,78
78,78,78
78,78,78
78,78,78
78,78,78
