SG1 [strain],SG2 [strain],SG3 [strain]
0,0,0
12.8288789215344,12.5888500406004,12.7495310008712
12.7314709805096,12.2736492288032,12.5521785020997
12.7297469461555,12.2329502228845,12.4084920336963
12.6607855719785,12.3619747310108,12.5807426795532
12.7133686197885,12.5386257354248,12.5140929321615
12.6409591769025,12.4901333028401,12.4102231959664
12.8073284921034,12.3749637754531,12.3989706412112
12.8849100380526,12.4762783221026,12.3989706412112
12.6513033830292,12.6598568168847,12.6127691815473
12.6987143277756,12.2649898658419,12.3435734485743
12.7538834271168,12.5516147798662,12.4422496979596
12.5461372874097,12.5923137857858,12.587667328633
12.8831860036985,12.5013904746907,12.4595613206593
12.6444072456115,12.2719173562114,12.5755491927439
12.6659576750417,12.3844890747105,12.4552334149839
12.6668196922187,12.2753811013963,12.5443882718851
13.0409351471271,12.6252193650394,12.4673515508734
12.7840540283196,12.4000759280411,12.566893381394
12.7573314958258,12.3888187561915,12.7252947290922
12.8512913681416,12.6563930717011,12.5478505964252
12.84870531661,12.366304412491,12.6551826571604
13.0004203397989,12.5022564109863,12.5288078114559
12.712506602611,12.62954904652,12.7209668234173
12.8125005951674,12.7499141916846,12.7945412198887
12.9331829999765,12.4944629843212,12.7806919217296
12.865945660154,12.7170086124311,12.8127184237228
12.6995763449527,12.6122303205975,12.6119036004116
12.8797379349894,12.5213070095019,12.5746836116082
12.6702677609278,12.5498829072744,12.4682171320087
12.7375051007498,12.4788761309906,12.5850705852286
12.9193907251411,12.5065860924674,12.6560482382952
12.9030123987741,12.6053028302281,12.6638384685102
12.7771578909014,12.719606421319,12.6023822079273
12.8426711963698,12.4147968450761,12.3868525053217
12.8056044577497,12.4953289206178,12.7140421743375
12.8107765608129,12.4858036213595,12.6378710344611
12.7926742000918,12.2883701458386,12.587667328633
12.84870531661,12.6667843072546,12.7521277442756
12.5823420088523,12.4728145769172,12.7045207818528
12.8642216257999,12.5975094035625,12.6326775476514
12.8874960895846,12.4970607932096,12.5028403774072
12.9099085361918,12.4624233413638,12.5210175812413
12.8693937288631,12.499658602098,12.5928608154436
12.57372183708,12.5749950598633,12.4413841168248
12.7392291351039,12.5213070095019,12.4050297091562
12.7383671179277,12.4477024243288,12.5322701359955
12.8038804233947,12.471082704325,12.5738180304738
12.8228448012933,12.582788486528,12.5435226907507
12.8366370761287,12.4676189591414,12.336648799494
12.9935242023807,12.4381771250714,12.6110380192772
12.8288789215344,12.5775928687513,12.7616491367603
12.8978402957105,12.5135135828364,12.5019747962724
12.9935242023807,12.5013904746907,12.6127691815473
12.9012883644195,12.5109157739485,12.6136347626825
12.746125272522,12.7343273383535,12.7131765932031
12.7961222688004,12.7403888924264,12.7754984349199
12.9486993091659,12.5498829072744,12.503705958542
12.8056044577497,12.6650524346624,12.5270766491858
12.6495793486752,12.6226215561505,12.7001928761783
12.9728357901281,12.662454625774,12.9070667674341
13.004730425685,12.7144108035423,12.5565064077741
12.8297409387114,12.5862522317125,12.7192356611476
12.9909381508496,12.4935970480255,12.6828812534786
13.0702437311529,12.8901958716606,12.7218324045525
13.0978282808233,12.6399402820743,12.7408751895214
13.0917941605826,12.9343586227642,12.8845616579247
13.1228267789625,12.6416721546657,12.7893477330795
13.0297289238238,12.7092151857655,12.6863435780188
13.1840299985442,12.7906131976033,12.9122602542434
13.1883400844308,12.792345070196,12.9468834996424
13.1797199126581,12.7325954657617,12.8828304956551
13.2142005997462,13.1032162005126,13.1000913605303
13.3098845064164,12.9785213738669,12.9486146619124
13.0978282808233,12.8391056301871,12.9157225787835
13.3607435198719,12.9672642020178,13.0273825451936
13.1814439470131,12.9014530435102,13.0576778849172
13.3254008156064,12.8988552346218,12.9269751335378
13.3133325751255,13.1136074360666,12.9520769864521
13.1564454488739,13.0400028508943,12.9243783901329
13.2581634757844,13.022684124971,13.0420974244876
13.2814379395686,12.9083805338796,12.9062011862989
13.3331589702016,12.9560070301677,12.98323790731
13.4003963100236,13.1984691930884,13.1987676099166
13.1995463077342,13.0391369145977,13.2784010743326
13.2771278536829,13.1517086330964,13.1935741231064
13.2512673383662,13.1110096271777,13.1286555379843
13.4029823615556,13.05212595904,13.3190833876756
13.5977982436048,13.3595333441717,13.2879224668172
13.7564094042109,13.4244785663832,13.4264154484108
13.6667596177808,13.5136700048856,13.3537066330737
13.5926261405411,13.3985004774986,13.390926621877
13.6176246386804,13.4184170123094,13.4636354372142
13.8201986753238,13.4210148211982,13.5718330790846
13.8003722802482,13.4781666167441,13.4359368408955
13.5986602607813,13.5950680167239,13.5320163468759
13.7658915931602,13.3690586434295,13.7544706985614
13.8176126237922,13.5041447056278,13.6999390870583
13.6719317208449,13.5838108448743,13.6627190982554
13.8365770016908,13.5846767811699,13.6410795698812
13.7874420225903,13.5552349471013,13.488737290128
13.9357089770701,13.5673580552475,13.5077800750973
13.9426051144883,13.6998463085574,13.6860897888987
13.80899245202,13.7301540789226,13.8237171893579
13.9279508224749,13.642694513012,13.5164358864467
14.0262207806768,13.8176136448337,13.7094604795429
13.7719257134004,13.6634769841194,13.6367516642067
14.0020842997151,13.5032787693326,13.8479534611374
13.9064003930448,13.7050419263346,13.8115990534684
13.7857179882358,13.6669407293043,13.6280958528573
13.9262267881209,13.6340351500498,13.6324237585313
13.8667476028936,13.6037273796851,13.4523828824599
13.7960621943621,13.6158504878317,13.7873627816898
13.8598514654755,13.60719112487,13.682627464359
13.7727877305779,13.6374988952352,13.6860897888987
14.0365649868031,13.7041759900385,13.7354279135916
13.8365770016908,13.4954853426671,13.849684623407
13.9055383758682,13.4495907189707,13.4844093844531
13.7564094042109,13.7033100537424,13.6289614339917
14.0279448150318,13.6669407293043,13.6402139887468
13.7693396618693,13.617582360424,13.6506009623654
13.9762237843988,13.5829449085777,13.4800814787786
13.7107224938186,13.5457096478435,13.6402139887468
13.8486452421721,13.6435604493081,13.8176581214129
13.8908840838549,13.6132526789429,13.5995316754033
13.7658915931602,13.4747028715597,13.8029432421195
13.8003722802482,13.7847080655802,13.8920980990197
13.9400190629563,13.8020267915031,13.7787069703404
13.9460531831965,13.7422771870683,13.5657740111396
14.0003602653605,13.5855427174665,13.6782995586846
14.1425930996002,13.7604618492878,13.7536051174266
13.8977802212726,13.8825588670447,13.7440837249414
14.0822518971954,13.7024441174458,13.944032967117
14.0882860174361,13.5509052656207,13.729368845648
14.0357029696261,13.574285545616,13.8635339215666
13.9710516813357,13.9544315796252,13.7839004571497
14.1279388075873,13.8236751989066,13.7864972005541
14.0115664886644,13.7699871485452,13.7008046681935
14.016738591728,13.6522198122698,13.9829841181913
13.9417430973108,13.7812443203952,13.7224441965677
14.1106984640433,13.7812443203952,13.6393484076111
13.9874300077026,13.6080570611657,13.7475460494816
14.1193186358155,13.67906383745,13.9613445898167
14.1227667045241,13.7067737989264,13.9526887784677
13.8193366581472,13.8054905366876,13.9241246010133
13.8477832249951,13.7240925248493,13.8064055666591
14.0046703512471,13.5093403234055,13.6956111813838
14.0339789352724,13.7673893396568,13.7362934947278
14.0555293647021,13.689455073004,13.7951530119044
14.0624255021203,13.7059078626307,13.6679125850651
13.9167445991716,13.5716877367286,14.0236664315344
13.9615694923864,13.7414112507727,13.7224441965677
13.9408810801333,13.6236439144968,13.6350205019362
13.9805338702845,13.6271076596818,13.6246335283176
13.6995162705152,13.6678066656,13.7544706985614
13.9357089770701,13.6704044744888,13.7328311701876
13.9607074752093,13.6019955070933,13.763992091046
13.9951881622978,13.6097889337584,13.5726986602194
13.9969121966519,13.6608791752315,13.682627464359
13.9331229255386,13.6236439144968,13.7492772117512
13.8951941697414,13.5552349471013,13.7830348760153
13.7848559710592,13.718896907073,13.6055907433474
13.7952001771846,13.5751514819121,13.6211712037775
13.8141645550836,13.6028614433899,13.6315581773974
13.7064124079325,13.6660747930077,13.717250709758
13.7607194900966,13.5924702078355,13.5467312261708
13.8943321525639,13.6037273796851,13.6384828264763
13.878815843374,13.67906383745,13.6739716530101
13.8753677746654,13.5448437115474,13.5380754148209
14.0494952444619,13.7214947159609,13.711191641813
13.7564094042109,13.6652088567116,13.7536051174266
13.9296748568299,13.4859600434092,13.5051833316925
13.5417671270861,13.549173393028,13.5701019168141
13.758995455742,13.5171337500706,13.6116498112929
13.604694381022,13.3569355352838,13.305234089516
13.6658976006038,13.5327206034012,13.4714256674288
13.7331349404262,13.485094107114,13.4939307769378
13.6788278582617,13.714567225592,13.7423525626718
13.8598514654755,13.6115208063511,13.5415377393606
13.7727877305779,13.4435291648979,13.5822200527041
13.7529613355018,13.3707905160218,13.5190326298521
13.8046823661343,13.4253445026793,13.5692363356798
13.860713482653,13.5214634315512,13.4497861390546
13.8908840838549,13.5517712019164,13.4445926522449
13.5926261405411,13.5119381322938,13.682627464359
13.5279748522503,13.4244785663832,13.4281466106809
13.4719437357312,13.5179996863667,13.4688289240239
13.6684836521354,13.3500080449144,13.309561995191
13.6426231368191,13.3352871278798,13.5726986602194
13.6305548963383,13.3603992804683,13.5735642413542
13.6314169135157,13.4920215974821,13.4774847353733
13.777959833641,13.5223293678478,13.4073726634419
13.5960742092493,13.4426632286022,13.4515173013247
13.6581394460086,13.2253132182691,13.5129735619066
13.7607194900966,13.5093403234055,13.4575763692692
