F1 [lbf],F2 [lbf],F3 [lbf]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.66666666666667,2.66666666666667,2.66666666666667
2.66666666666667,2.66666666666667,2.66666666666667
2.66666666666667,2.66666666666667,2.66666666666667
5.33333333333333,5.33333333333333,5.33333333333333
5.33333333333333,5.33333333333333,5.33333333333333
5.33333333333333,5.33333333333333,5.33333333333333
5.33333333333333,5.33333333333333,5.33333333333333
8,8,8
8,8,8
8,8,8
8,8,8
10.6666666666667,10.6666666666667,10.6666666666667
10.6666666666667,10.6666666666667,10.6666666666667
10.6666666666667,10.6666666666667,10.6666666666667
10.6666666666667,10.6666666666667,10.6666666666667
13.3333333333333,13.3333333333333,13.3333333333333
13.3333333333333,13.3333333333333,13.3333333333333
13.3333333333333,13.3333333333333,13.3333333333333
13.3333333333333,13.3333333333333,13.3333333333333
16,16,16
16,16,16
16,16,16
16,16,16
18.6666666666667,18.6666666666667,18.6666666666667
18.6666666666667,18.6666666666667,18.6666666666667
18.6666666666667,18.6666666666667,18.6666666666667
18.6666666666667,18.6666666666667,18.6666666666667
21.3333333333333,21.3333333333333,21.3333333333333
21.3333333333333,21.3333333333333,21.3333333333333
21.3333333333333,21.3333333333333,21.3333333333333
21.3333333333333,21.3333333333333,21.3333333333333
24,24,24
24,24,24
24,24,24
24,24,24
26.6666666666667,26.6666666666667,26.6666666666667
26.6666666666667,26.6666666666667,26.6666666666667
