SG1 [microstrain],SG2 [microstrain],SG3 [microstrain]
0,0,0
-0.12083797280502,-0.168452358431296,0.217165487631974
-0.0203580966476693,-0.0481919462108635,0.0905511100427248
-0.093752093144758,-0.0552144520343063,0.162153723576921
0.0792480414552301,-0.106127619250856,0.17088574961781
-0.01074697805916,-0.0789154091871751,0.084438691813375
0.00323283079751491,-0.162307665835669,0.099283136082704
-0.0177368824874975,-0.165818918747391,0.181364180866694
-0.057055094896441,-0.256233681220237,0.0556230058791698
0.018086377707732,-0.231654910839097,0.094043920459626
0.0224550679758977,-0.305391221982518,0.232009931902212
0.0137176874400211,-0.189519875900714,0.248600781379537
0.0119702113329367,-0.204442700774962,0.277416467314652
0.000611616636888357,-0.35542657597216,0.15254849493158
-0.0596763090566128,-0.393172544771005,0.171758952221353
-0.0177368824874975,-0.210587393370133,0.225024311069319
0.0250762821360695,-0.23341053729564,0.189223004302221
-0.028221739129549,-0.232532724066914,0.218038690236426
0.0207075918683586,-0.513432956991892,0.309724963664848
-0.113848068376228,-0.252722428309426,0.304485748039951
-0.00375707363036781,-0.236921790206907,0.247727578775994
-0.0710349037526612,-0.287834957424366,0.475633458439006
0.143030919363355,-0.298368716159075,0.394425616259468
0.018960115761729,-0.243066482802078,0.345526270431947
-0.0387065957725099,-0.374738466985946,0.21017986679999
0.0469197334746241,-0.371227214074224,0.211053069404443
0.00323283079751491,-0.315047167488956,0.218038690236426
0.0486672095817084,-0.299246529386892,0.453803393335875
0.0320661865639522,-0.325580926223211,0.402284439697723
0.051288423742335,-0.417751315151691,0.479126268855907
-0.0692874276460316,-0.398439424138815,0.308851761061305
-0.0666662134849503,-0.493243252750744,0.409270060528797
0.0661419706525521,-0.36332689502251,0.293134114187524
0.101091492792875,-0.346648443693539,0.366483132928806
0.125556158292966,-0.432674140025938,0.457296203753685
0.0521621617954224,-0.432674140025938,0.489604700103882
0.0853642078295707,-0.36332689502251,0.387439995427485
0.0259500201891569,-0.267645253183218,0.49222430791724
0.159631942380656,-0.54240079351257,0.49484391572787
0.0530358998494194,-0.447596964900185,0.403157642300357
-0.0247267869153802,-0.457252910407078,0.403157642300357
-0.00899950195162091,-0.361571268567332,0.449437380317249
-0.0352116435578864,-0.451986031039723,0.530645222494968
0.0574045901171303,-0.636326808896683,0.579544568324309
-0.00899950195162091,-0.569613003577615,0.504449144373211
0.0547833759565037,-0.653005260226564,0.478253066250545
-0.0186106205405849,-0.629304303073241,0.521913196454079
0.0154651635471055,-0.709185306811378,0.541123653743853
0.0871116839371098,-0.615259291427265,0.496590320936775
-0.0352116435578864,-0.720596878773904,0.533264830309236
-0.000262121416199079,-0.748686902066311,0.397045224071917
0.0809955175618597,-0.646860567631393,0.457296203753685
-0.0448227621473052,-0.616137104655536,0.617965482902946
0.107207659168125,-0.552056739019008,0.515800778225639
0.0827429936693989,-0.48007605433213,0.412762870944789
0.087985421990652,-0.372982840529858,0.454676595941237
0.134293538828388,-0.3852722257202,0.562953718846074
0.12905111050668,-0.557323618386818,0.653766789670044
0.108081397221667,-0.538011727373032,0.594389012594547
0.0949753264189894,-0.505532637941542,0.57081254228342
-0.0124944541657896,-0.509043890852809,0.583037378739391
0.064394494545013,-0.469542295596966,0.545489666765206
0.227783510556947,-0.447596964900185,0.636302737589176
0.134293538828388,-0.539767353828665,0.615345875090497
-0.00550454973745218,-0.511677330536259,0.569939339678058
0.00498030690459927,-0.446719151672824,0.62844391415274
0.00760152106522582,-0.431796326798121,0.607487051654971
0.104586445007499,-0.547667672879925,0.583910581343844
0.0626470184383834,-0.463397603001795,0.568192934470972
-0.00288333557728038,-0.604725532692555,0.741087050078022
0.0888591600437394,-0.466031042686609,0.568192934470972
0.12905111050668,-0.496754505662466,0.697426919873578
0.0154651635471055,-0.420384754835595,0.642415155816707
-0.0159894063799584,-0.519577649586608,0.568192934470972
-0.0404540718791395,-0.378249719896758,0.652893587065591
0.0145914254931085,-0.514310770219709,0.573432150095869
0.0172126396541898,-0.527477968638323,0.722749795391792
-0.147923852464373,-0.516066396676251,0.70703214851892
0.00585404495814146,-0.451108217811907,0.650273979254052
0.145652133524436,-0.566979563892801,0.568192934470972
0.0399298290462866,-0.541522980284299,0.710524958934911
-0.0823934984487096,-0.463397603001795,0.721003390183796
0.0172126396541898,-0.589802707818308,0.723622997996245
-0.00637828779099436,-0.494998879206378,0.57081254228342
0.0233288060289851,-0.523966715726601,0.676470057375809
-0.0963733073049298,-0.752198154977577,0.672104044355365
0.0958490644720769,-0.51518858344798,0.530645222494968
0.162253156541283,-0.703040614216661,0.560334111034535
0.0626470184383834,-0.48270949401558,0.766409925595326
0.0888591600437394,-0.441452272304559,0.699173325082484
0.0102227352253976,-0.478320427876497,0.630190319360736
0.110702611382294,-0.597703026869567,0.619711888110942
0.018086377707732,-0.440574459077652,0.772522343823766
0.0705106609198083,-0.639838061808405,0.700919730290479
0.0530358998494194,-0.583658015223591,0.693934109457587
-0.0247267869153802,-0.493243252750744,0.77688835684512
-0.0229793108087506,-0.480953867560402,0.934064825577479
0.0582783281706725,-0.571368630032794,0.804830840174873
0.194581464522344,-0.609992412060365,0.794352408925988
0.0207075918683586,-0.632815555984507,0.921839989120599
0.0975965405791612,-0.694262481937585,0.833646526109078
-0.028221739129549,-0.573124256488427,0.870321035480629
-0.0325904293977146,-0.575757696172786,0.82840731048509
-0.00550454973745218,-0.530989221550044,0.759424304762433
-0.0491914524141066,-0.609114598832093,0.760297507366886
-0.0116207161127022,-0.638082435352771,0.833646526109078
