F1 [lbf],F2 [lbf],F3 [lbf]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.666666666666667,0.666666666666667,0.666666666666667
0.666666666666667,0.666666666666667,0.666666666666667
0.666666666666667,0.666666666666667,0.666666666666667
1.33333333333333,1.33333333333333,1.33333333333333
1.33333333333333,1.33333333333333,1.33333333333333
1.33333333333333,1.33333333333333,1.33333333333333
2,2,2
2,2,2
2,2,2
2.66666666666667,2.66666666666667,2.66666666666667
2.66666666666667,2.66666666666667,2.66666666666667
2.66666666666667,2.66666666666667,2.66666666666667
3.33333333333333,3.33333333333333,3.33333333333333
3.33333333333333,3.33333333333333,3.33333333333333
3.33333333333333,3.33333333333333,3.33333333333333
4,4,4
4,4,4
4,4,4
4.66666666666667,4.66666666666667,4.66666666666667
4.66666666666667,4.66666666666667,4.66666666666667
4.66666666666667,4.66666666666667,4.66666666666667
5.33333333333333,5.33333333333333,5.33333333333333
5.33333333333333,5.33333333333333,5.33333333333333
5.33333333333333,5.33333333333333,5.33333333333333
6,6,6
6,6,6
6,6,6
6,6,6
6.66666666666667,6.66666666666667,6.66666666666667
6.66666666666667,6.66666666666667,6.66666666666667
6.66666666666667,6.66666666666667,6.66666666666667
7.33333333333333,7.33333333333333,7.33333333333333
7.33333333333333,7.33333333333333,7.33333333333333
7.33333333333333,7.33333333333333,7.33333333333333
8,8,8
8,8,8
8,8,8
8.66666666666667,8.66666666666667,8.66666666666667
8.66666666666667,8.66666666666667,8.66666666666667
8.66666666666667,8.66666666666667,8.66666666666667
9.33333333333333,9.33333333333333,9.33333333333333
9.33333333333333,9.33333333333333,9.33333333333333
9.33333333333333,9.33333333333333,9.33333333333333
10,10,10
10,10,10
10,10,10
10,10,10
